,MMS ID,Barcode,title,Author,Call Number,Permanent Location,Material Type,Process type,Description,Orders,Requests,Modification Date,Due Date
306,9920644083606241,33082012363437,"The Spanish fantastic : contemporary filmmaking in horror, fantasy and sci-fi / Shelagh Rowan-Legg.",Rowan-Legg Shelagh M,PN1993.5.S7 R69 2016,Books,Book,Lost,,,,30-Dec-20,10-Dec
307,9916575743606241,33082011656617,Contemporary film theory / edited and introduced by Antony Easthope.,Easthope Antony,PN1995 .C634 1993,Books,Book,Lost,,,,03-Jan-21,14-Dec
308,9918015423606241,33082011929154,Embodied cognition and cinema / edited by Maarten Coëgnarts and Peter Kravanja ; with a foreword by Mark Johnson.,Coëgnarts Maarten,PN1995 .E628 2015,Books,Book,Lost,,,,22-Nov-20,01-Oct
309,9918039363606241,33082011914651,"Free radicals [videorecording] : a history of experimental film / Sacrebleu Productions presents ; written by Pip Chodorov, Lucy Allwood ; produced by Ron Dyens, Aurélia Prévieu ; a Pip Chodorov film.",Visual material By Chodorov Pip,PN1995.9.E96 F744 2012,DVDs,Other,Lost,,,,21-Nov-20,01-Oct
310,9921311683606241,33082012313911,"The magic box : the films of Shirley Clarke, 1929-1987 / producers, Dennis Doros and Amy Heller.",Visual material By Clarke Shirley,PN1995.9.E96 M34 2016,DVDs,Other,Lost,,,,21-Nov-20,01-Oct
311,999407933606241,33082010201571,Blade runner [videorecording] / a Ladd Company released in association with Sir Run Run Shaw thru Warner Bros. ; Jerry Perenchio and Bud Yorkin present a Michael Deeley-Ridley Scott production ; produced by Michael Deeley ; screenplay by Hampton Fancher and David Peoples ; directed by Ridley Scott.,Visual material By Fancher Hampton,PN1995.9.S26 B5335 2007,DVDs,Other,Lost,,,,27-Nov-20,08-Oct
312,996647243606241,33082010946787,Casino [videorecording]/ Universal Pictures and Syalis D.A. & Légende Entreprises present ; a De Fina/Cappa production ; screenplay by Nicholas Pileggi & Martin Scorsese ; produced by Barbara De Fina ; directed by Martin Scorsese.,Visual material By Scorsese Martin,PN1995.9.S87 C28 1998,DVDs,Other,Lost,,,,27-Nov-20,08-Oct
313,9913114793606241,33082010950110,"Boys don't cry [videorecording] / Fox Searchlight Pictures and the Independent Film Channel Productions present ; a Killer Films/Hart-Sharp Entertainment production ; written by Kimberly Peirce, Andy Bienen ; produced by Jeffrey Sharp ... [and others] ; directed by Kimberly Peirce.",Visual material By Peirce Kimberly,PN1997 .B69 2002,DVDs,Other,Lost,,,,25-Oct-20,03-Sep
314,997006453606241,33082007912693,"Iris [videorecording] / Miramax Films, BBC Films, Intermedia Films present a Mirage Enterprises, Robert Fox/Scott Rudin production of a Richard Eyre film ; producers, Robert Fox, Scott Rudin ; writers, Richard Eyre, Charles Wood ; director, Richard Eyre.",Visual material By Fox Robert,PN1997 .I7393 2002,DVDs,Other,Lost,,,,11-Dec-20,19-Nov
315,996424973606241,33082010951944,"Tierra [videorecording] = Earth / Sogetel S.A. ; Lolafilms S.A. ; en colaboración con Sogepaq, S.A. ; y en asociación con Canal+ ; productor, Fernando de Garcillán ; guión y direccion, Julio Medem.",Visual material By Medem Julio,PN1997.25 .T535 2000,DVDs,Other,Lost,,,,20-Dec-20,30-Nov
